,Links,Title,Details,Price,Rating
34,https://www.airbnb.co.in/rooms/43237277?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=1f511b03-7f82-4885-9724-a32aca6160ed,Waikiki Studio Kitchenette with 2 Twin Beds,"2 guests, 1 bedroom, 3 beds, 1 private bathroom, Kitchen, Wifi, Pool, Air conditioning","₹11,727",4.60
35,https://www.airbnb.co.in/rooms/39800978?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=1f511b03-7f82-4885-9724-a32aca6160ed,"2Bd/Waikiki - Full Kitchen, Pool, & Valet Parking!","8 guests, 2 bedrooms, 4 beds, 2 bathrooms, Kitchen, Wifi, Pool, Air conditioning","₹44,462",5.0
36,https://www.airbnb.co.in/rooms/43926758?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=1f511b03-7f82-4885-9724-a32aca6160ed,"2BD Waikiki w/Full Kitchen, W/D, Whirlpool tubs!","8 guests, 2 bedrooms, 4 beds, 2 bathrooms, Kitchen, Wifi, Pool, Air conditioning","₹44,462",4.87
37,https://www.airbnb.co.in/rooms/40245151?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=1f511b03-7f82-4885-9724-a32aca6160ed,Camping equipment by and a Car,"5 guests, 1 bedroom, 3 beds, 1 bathroom","₹10,917",5.0
38,https://www.airbnb.co.in/rooms/549412341931604093?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=1f511b03-7f82-4885-9724-a32aca6160ed,Private 1 BR O'hana Suite Near HNL Airport,"6 guests, 1 bedroom, 3 beds, 1 shared bathroom, Wifi, Pool, Air conditioning","₹14,411",4.67
39,https://www.airbnb.co.in/rooms/13960740?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=1f511b03-7f82-4885-9724-a32aca6160ed,HI-VIBE Hawaiian Haven,"6 guests, 2 bedrooms, 6 beds, 2 bathrooms, Kitchen, Wifi, Air conditioning","₹52,023",4.92
40,https://www.airbnb.co.in/rooms/38100141?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=1f511b03-7f82-4885-9724-a32aca6160ed,"OVK · Ocean View King Bed, Hotel Renew","2 guests, 1 bedroom, 1 bed, 1 private bathroom, Wifi, Air conditioning","₹18,580",4.67
41,https://www.airbnb.co.in/rooms/51962107?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=1f511b03-7f82-4885-9724-a32aca6160ed,Marina Front House with Private Water Access,"7 guests, 3 bedrooms, 4 beds, 2 bathrooms, Kitchen, Wifi, Air conditioning","₹1,22,244",5.0
42,https://www.airbnb.co.in/rooms/41029395?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=4b3765c4-732a-49ff-ae8a-127d9c4890db,"Panoramic Oceanfront, 1 King Bed","3 guests, 1 bedroom, 1 bed, 1 private bathroom, Wifi, Air conditioning","₹46,184",4.80
43,https://www.airbnb.co.in/rooms/30304016?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=4b3765c4-732a-49ff-ae8a-127d9c4890db,Beautiful house one block from a private beach . A,"2 guests, 1 bedroom, 1 bed, 1 shared bathroom, Kitchen, Wifi, Air conditioning","₹7,167",4.58
